"","Year","Round","Region Number","Region Name","Seed1","Score1","Team1","Team2","Score2","Seed2"
"310",1994,1,3,"East",6,80,"Nebraska","Pennsylvania",90,11
"311",1994,1,3,"East",7,46,"UAB","George Washington",51,10
"312",1994,1,3,"East",8,64,"Washington St","Boston College",67,9
"313",1994,1,4,"Southeast",1,98,"Purdue","Central Florida",67,16
"314",1994,1,4,"Southeast",2,82,"Duke","Texas Southern",70,15
"315",1994,1,4,"Southeast",3,83,"Kentucky","Tennessee St",70,14
"316",1994,1,4,"Southeast",4,102,"Kansas","Chattanooga",73,13
"317",1994,1,4,"Southeast",5,68,"Wake Forest","College of Charleston",58,12
"318",1994,1,4,"Southeast",6,81,"Marquette","Louisiana Lafayette",59,11
"319",1994,1,4,"Southeast",7,84,"Michigan St","Seton Hall",73,10
"320",1994,1,4,"Southeast",8,70,"Providence","Alabama",76,9
"321",1995,1,1,"Midwest",1,82,"Kansas","Colgate",68,16
"322",1995,1,1,"Midwest",2,79,"Arkansas","Texas Southern",78,15
"323",1995,1,1,"Midwest",3,49,"Purdue","Wisconsin Green Bay",48,14
"324",1995,1,1,"Midwest",4,96,"Virginia","Nicholls St",72,13
"325",1995,1,1,"Midwest",5,62,"Arizona","Miami Ohio",71,12
"326",1995,1,1,"Midwest",6,77,"Memphis","Louisville",56,11
"327",1995,1,1,"Midwest",7,96,"Syracuse","Southern Illinois",92,10
"328",1995,1,1,"Midwest",8,82,"Western Kentucky","Michigan",76,9
"329",1995,1,2,"Southeast",1,113,"Kentucky","Mount St Marys",67,16
"330",1995,1,2,"Southeast",2,80,"North Carolina","Murray St",70,15
"331",1995,1,2,"Southeast",3,72,"Michigan St","Weber St",79,14
"332",1995,1,2,"Southeast",4,67,"Oklahoma","Manhattan",77,13
"333",1995,1,2,"Southeast",5,81,"Arizona St","Ball St",66,12
"334",1995,1,2,"Southeast",6,68,"Georgetown","Xavier",63,11
"335",1995,1,2,"Southeast",7,64,"Iowa St","Florida",61,10
"336",1995,1,2,"Southeast",8,70,"BYU","Tulane",76,9
"337",1995,1,3,"East",1,79,"Wake Forest","North Carolina A&T",47,16
"338",1995,1,3,"East",2,68,"Massachusetts","St Peters",51,15
"339",1995,1,3,"East",3,81,"Villanova","Old Dominion",89,14
"340",1995,1,3,"East",4,73,"Oklahoma St","Drexel",49,13
"341",1995,1,3,"East",5,91,"Alabama","Pennsylvania",85,12
"342",1995,1,3,"East",6,68,"Tulsa","Illinois",62,11
"343",1995,1,3,"East",7,68,"Charlotte","Stanford",70,10
"344",1995,1,3,"East",8,61,"Minnesota","St Louis",64,9
"345",1995,1,4,"West",1,92,"UCLA","Florida International",56,16
"346",1995,1,4,"West",2,100,"Connecticut","Chattanooga",71,15
"347",1995,1,4,"West",3,87,"Maryland","Gonzaga",63,14
"348",1995,1,4,"West",4,76,"Utah","Long Beach St",64,13
"349",1995,1,4,"West",5,75,"Mississippi St","Santa Clara",67,12
"350",1995,1,4,"West",6,73,"Oregon","Texas",90,11
"351",1995,1,4,"West",7,77,"Cincinnati","Temple",71,10
"352",1995,1,4,"West",8,65,"Missouri","Indiana",60,9
"353",1996,1,1,"Southeast",1,68,"Connecticut","Colgate",59,16
"354",1996,1,1,"Southeast",2,66,"Cincinnati","UNC Greensboro",61,15
"355",1996,1,1,"Southeast",3,90,"Georgia Tech","Austin Peay",79,14
"356",1996,1,1,"Southeast",4,41,"UCLA","Princeton",43,13
"357",1996,1,1,"Southeast",5,58,"Mississippi St","VCU",51,12
"358",1996,1,1,"Southeast",6,51,"Indiana","Boston College",64,11
"359",1996,1,1,"Southeast",7,61,"Temple","Oklahoma",43,10
"360",1996,1,1,"Southeast",8,60,"Duke","Eastern Michigan",75,9
"361",1996,1,2,"West",1,73,"Purdue","Western Carolina",71,16
"362",1996,1,2,"West",2,92,"Kansas","South Carolina St",54,15
"363",1996,1,2,"West",3,90,"Arizona","Valparaiso",51,14
"364",1996,1,2,"West",4,88,"Syracuse","Montana St",55,13
"365",1996,1,2,"West",5,63,"Memphis","Drexel",75,12
"366",1996,1,2,"West",6,81,"Iowa","George Washington",79,11
"367",1996,1,2,"West",7,79,"Maryland","Santa Clara",91,10
"368",1996,1,2,"West",8,81,"Georgia","Clemson",74,9
"369",1996,1,3,"East",1,92,"Massachusetts","Central Florida",70,16
"370",1996,1,3,"East",2,93,"Georgetown","Mississippi Valley St",56,15
"371",1996,1,3,"East",3,74,"Texas Tech","Northern Illinois",73,14
"372",1996,1,3,"East",4,68,"Marquette","Monmouth",44,13
"373",1996,1,3,"East",5,80,"Penn St","Arkansas",86,12
"374",1996,1,3,"East",6,86,"North Carolina","New Orleans",62,11
"375",1996,1,3,"East",7,69,"New Mexico","Kansas St",48,10
"376",1996,1,3,"East",8,58,"Bradley","Stanford",66,9
"377",1996,1,4,"Midwest",1,110,"Kentucky","San Jose St",72,16
"378",1996,1,4,"Midwest",2,62,"Wake Forest","Louisiana Monroe",50,15
"379",1996,1,4,"Midwest",3,92,"Villanova","Portland",58,14
"380",1996,1,4,"Midwest",4,73,"Utah","Canisius",67,13
"381",1996,1,4,"Midwest",5,74,"Iowa St","California",64,12
"382",1996,1,4,"Midwest",6,82,"Louisville","Tulsa",80,11
"383",1996,1,4,"Midwest",7,76,"Michigan","Texas",80,10
"384",1996,1,4,"Midwest",8,48,"Wisconsin Green Bay","Virginia Tech",61,9
"385",1997,1,1,"West",1,92,"Kentucky","Montana",54,16
"386",1997,1,1,"West",2,75,"Utah","Navy",61,15
"387",1997,1,1,"West",3,68,"Wake Forest","St Marys",46,14
"388",1997,1,1,"West",4,75,"St Josephs","Pacific",65,13
"389",1997,1,1,"West",5,73,"Boston College","Valparaiso",66,12
"390",1997,1,1,"West",6,80,"Stanford","Oklahoma",67,11
"391",1997,1,1,"West",7,79,"Charlotte","Georgetown",67,10
