"","Year","Round","Seed1","Score1","Team1","Team2","Score2","Seed2","W1","L1","Pts1","Opp1","MOV1","SOS1","OSRS1","DSRS1","SRS1","W2","L2","Pts2","Opp2","MOV2","SOS2","OSRS2","DSRS2","SRS2"
"111",2003,1,7,63,"St Josephs","Auburn",65,10,23,7,70.4,59.5,10.9,3.71,2.32,12.29,14.61,22,12,70.8,65.7,5.09,8.35,5.02,7.66,12.68
"112",2004,1,5,58,"Providence","Pacific",66,12,20,9,71,64.4,6.66,8.21,6.6,8.27,14.87,25,8,68.8,63.5,5.3,0.95,1.26,4.51,5.76
"113",2004,1,7,66,"Michigan St","Nevada",72,10,18,12,71.3,67.5,3.77,8.38,8.72,3.43,12.15,25,9,75.9,66.4,9.47,5.82,9.33,5.58,14.91
"114",2004,1,5,60,"Florida","Manhattan",75,12,20,11,76.4,69.3,7.1,9.19,11.84,4.44,16.28,25,6,74.5,64,10.55,-1.25,3.44,5.86,9.3
"115",2005,1,5,73,"Alabama","Wisconsin Milwaukee",83,12,24,8,75.8,65.1,10.72,6.81,9.53,7.22,16.75,26,6,75,64.3,10.66,1.45,8.29,2.13,10.42
"116",2005,1,6,68,"LSU","UAB",82,11,20,10,75.2,71.4,3.83,7.77,10.39,1.21,11.6,22,11,77.5,71.8,5.64,4.77,10.91,-0.5,10.41
"117",2005,1,3,63,"Kansas","Bucknell",64,14,23,7,75,65.2,9.83,10.85,12.24,8.44,20.68,23,10,63.5,59,4.58,-2.19,-5.26,7.38,2.12
"118",2005,1,7,63,"Charlotte","NC State",75,10,21,8,77.8,72.2,5.66,3.97,11.8,-2.17,9.62,21,14,73.1,66.1,7,9.15,6.86,9.29,16.15
"119",2005,1,4,57,"Syracuse","Vermont",60,13,27,7,74.9,64.6,10.32,6.83,9.18,6.77,15.95,25,7,71.8,62.1,9.75,-1.95,3.58,4.22,7.8
"120",2006,1,3,63,"Iowa","Northwestern St",64,14,25,9,66.3,58.9,7.38,6.8,0.84,13.34,14.18,26,8,75.7,69.6,6.12,-1.38,4.63,-0.62,4.01
"121",2006,1,5,58,"Syracuse","Texas A&M",66,12,23,12,72.4,68.9,3.51,8.16,8.15,3.53,11.68,22,9,68.7,60.3,8.42,4.77,2.29,10.9,13.19
