Rk,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Year
271,Morehead State,OVC,3,23,63.6,74.9,-11.31,-3.85,-8.65,-6.5,-15.16,1998
272,Dartmouth,Ivy,7,19,56.7,65.2,-8.5,-7.12,-15.62,0,-15.62,1998
273,Lehigh,Patriot,10,17,70.9,77.4,-6.44,-7.47,-5.04,-10.66,-15.71,1998
274,Wofford,Southern (South),9,18,64.7,70.1,-5.41,-4.85,-9.58,-6.48,-16.06,1998
275,Florida A&M,MEAC,11,17,71.4,75.6,-4.25,-11.82,-6.37,-9.77,-16.14,1998
276,Maryland-Eastern Shore,MEAC,9,18,68.1,72.9,-4.78,-11.39,-9.16,-7.01,-16.17,1998
277,Norfolk State,MEAC,6,21,66,75.8,-9.78,-5.73,-6.85,-9.39,-16.25,1998
278,Monmouth,NEC,4,23,60.1,72.3,-12.15,-4.23,-14.34,-2.04,-16.38,1998
279,McNeese State,Southland,7,19,69.9,77.9,-8.04,-7.72,-7.05,-9.39,-16.44,1998
280,Holy Cross,Patriot,7,20,68.6,76.8,-8.22,-8.25,-6.59,-10,-16.58,1998
281,Tennessee-Martin,OVC,7,20,63.3,74.1,-10.85,-4.36,-10.96,-5.75,-16.71,1998
282,Alabama State,SWAC,11,17,68.4,73.8,-5.39,-10.27,-11.3,-5.46,-16.77,1998
283,Jacksonville State,TAAC (West),12,14,75.3,79.4,-4.12,-11.26,-0.44,-16.41,-16.85,1998
284,Mississippi Valley State,SWAC,6,21,73.9,82.3,-8.33,-7.57,-1.89,-15.06,-16.95,1998
285,Prairie View,SWAC,13,17,72.5,80.1,-7.63,-6.19,-7.05,-10.06,-17.11,1998
286,Brown,Ivy,6,20,56.8,68.2,-11.31,-5.95,-14.87,-2.4,-17.26,1998
287,Idaho State,Big Sky,6,20,68.9,81.9,-13,-4.04,-5.48,-12.04,-17.52,1998
288,Central Connecticut State,NEC,4,22,65.6,76.8,-11.19,-6.29,-9.73,-7.85,-17.57,1998
289,North Carolina A&T,MEAC,8,19,66.3,72.7,-6.37,-10.98,-7.74,-10.29,-18.02,1998
290,Campbell,TAAC (East),10,17,63.9,71.1,-7.22,-7.74,-11.66,-6.58,-18.24,1998
291,Texas-Rio Grande Valley,Sun Belt,3,24,72.3,94.4,-22.15,0.96,3.15,-21.6,-18.45,1998
292,Tennessee Tech,OVC,9,21,65.8,75.6,-9.83,-6.38,-11.28,-7.21,-18.49,1998
293,Southeastern Louisiana,Southland,6,20,79.4,85.8,-6.35,-8.9,0.04,-18.76,-18.73,1998
294,Mercer,TAAC (West),5,21,68,76.5,-8.54,-8.73,-9.42,-9.8,-19.23,1998
295,Florida Atlantic,TAAC (East),5,22,61.9,78.1,-16.19,-3.21,-11.13,-8.12,-19.25,1998
296,Coastal Carolina,Big South,8,19,62,69.2,-7.15,-9.3,-14.15,-5.32,-19.47,1998
297,Winthrop,Big South,7,20,63.4,70.8,-7.44,-8.59,-14.04,-6.05,-20.09,1998
298,Howard,MEAC,8,20,69.2,77.2,-8,-12.21,-8.73,-11.48,-20.21,1998
299,Army,Patriot,8,19,64.1,75.1,-11.04,-8.19,-10.03,-10.36,-20.38,1998
300,Charleston Southern,Big South,5,22,69.7,78.8,-9.04,-8.34,-5.29,-15.17,-20.46,1998
301,Northeastern Illinois,Mid-Cont,6,19,69.3,81.5,-12.16,-6,-6.26,-15,-21.26,1998
302,Sacramento State,Big Sky,1,25,58.3,77.6,-19.23,-1.99,-15.15,-7.18,-22.34,1998
303,Delaware State,MEAC,9,18,70,80.2,-10.22,-10.03,-9.1,-13.33,-22.43,1998
304,Troy,TAAC (West),7,20,70.9,81.5,-10.63,-9.87,-5.84,-17.23,-23.07,1998
305,Chicago State,Mid-Cont,2,25,68,89.7,-21.63,-3.6,-4.35,-20.88,-25.23,1998
306,Bethune-Cookman,MEAC,1,26,60.9,79.2,-18.33,-8.94,-15.86,-11.42,-27.28,1998
